Name|Type|ActionType|Range(in feet)|Duration|CastingTime|RechargeValues(d6)|AttackAbilityMod|Description
Signal Beam|Bug|Ranged Attack|80/240|1 Minutes|Action|--|DEX,CHA|1d10 + mod damage; Target must make a CON save or be Confused; affected targets can repeat the save at the end of their turn.
Silver Wind|Bug|Spell|60|Instant|Action|5,6|--|Create a corridor of mystic, directed wind that extends in a 60ft line of your choosing, with you at the center; All enemies in this zone must make a STR save or take Xd6 damage, where X is your prof bonus, and be knocked 15 ft in the direction of the wind; successful saves take half damage; for each failed save heal 1d6 hp.
Spider Web|Bug|Ranged Attack|20/60|Instant|Action|--|STR,DEX|1d4 + mod damage; Target must make a STR saving throw or be restrained in a spider web net which you are linked to by webbing; target can break from the webbing with an Action and a STR save; You can use a Bonus Action to reel in a target stuck in netting.
Steamroller|Bug|Spell|--|1d4+1 Rounds|Action|5,6|--|Form into a ball for the duration; in this form you have +2 AC and cannot make attacks or spells, but gain double movement speed and can move through occupied squares; When you move through an occupied square the target must make a DEX save or take XdY, where X is your prof bonus and Y is 6 if your CON mod is 0 or less and 10 otherwise, and are knocked prone; half damage on successful save; Cost nothing to come out of ball form early.
Sticky Web|Bug|Spell|60|1 Minutes|Action|5,6|--|Choose a 20 ft area within range to spread Sticky Web over for the duration; When a creature starts their turn on Sticky Web they must make a DEX save or have their movement reduced to 0 that round; Pokemon that are sent out from their Pokeball onto Sticky Web immediately fail this save.
String Shot|Bug|Spell|60|1 Minutes|Action|5,6|--|Choose a 10 ft area within range to spread sticky webbing over for the duration; When a creature starts their turn on the web they must make a DEX save or have their movement reduced to 0 that round; Pokemon that are sent out from their Pokeball onto web immediately fail this save.
Struggle Bug|Bug|Ranged Attack|80/240|1 Minutes|Reaction|6|DEX,CHA|When you see an opponent beginning to cast a spell make a Signal Beam attack against them as they do so; if they are Confused they must roll for Confusion before casting their Spell.
Tail Glow|Bug|Spell|--|1d4+1 Rounds|Bonus Action|5,6|--|Cause your tail to glow brightly for the duration; While it is glowing ranged attacks against you have advantage and you can add your prof bonus to the DC of any spell you cast (if you already add it to a spell, double it).
Twineedle|Bug|Melee Attack|Touch|1 Minutes|Action|--|STR,DEX|Make two of the following attacks; 1d6 + mod damage; Target must make a CON save or be Poisoned; These attacks crit on a 19 or 20, add 4 to Poison's DC on crit.
U-Turn|Bug|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d8 + mod damage; If you move after this attack you do not instigate attacks of opportunity from your target; As a Bonus Action until the end of this turn the trainer can retract this pokemon and send out a replacement.
X-Scissor|Bug|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d12 + mod damage.
Ancient Power|Rock|Melee Attack|Touch|Instant|Action|--|STR,WIS|1d8 + mod damage; Target must make a STR save or you can make another Ancient Power attack against them, healing yourself for the damage done on the new attack; The DC goes down by 3 every time your target fails this save this round.
Head Smash|Rock|Melee Attack|Touch|Instant|Action|--|STR,CON|2d12 + mod damage but make a DC 12 DEX save or take 1/2 of the damage done.
Power Gem|Rock|Ranged Attack|60/180|1 Rounds|Action|--|DEX,WIS|1d10 + mod damage; On hit target must make an INT save or be Blinded.
Rock Blast|Rock|Spell|--|Instant|Bonus Action|5,6|--|When your learn this move, you also learn Rock Throw; Summon 1d4 large, solid, rock balls adjacent to you creating difficult terrain. One rock ball can be thrown using Rock Throw; Once all the rock balls have been thrown, there is no longer difficult terrain.
Rock Polish|Rock|Spell|--|1d4+1 Rounds|Action|5,6|--|Greatly streamline your body for the duration, doubling your movement speed; attacks of opportunity have disadvantage against you during this time.
Rock Slide|Rock|Spell|60|Instant|Action|5,6|--|Conjure huge boulders above a 15 ft area; You can release these at any time on any of your turns, or you release them when you leave play, or when you are struck by an attack; When they are released, any target in the must make a DEX save or take Xd6 damage, where X is double your prof bonus, and are knocked prone; half damage on successful save.
Rock Throw|Rock|Ranged Attack|30/90|Instant|Action|--|STR,DEX|1d8 + mod damage.
Rock Tomb|Rock|Spell|--|Instant|Action|4,5,6|--|Create a pit trap on your current square; The next time an enemy creature moves into that square they take Xd6 damage, where X is your prof bonus, and fall into the pit losing half their movement speed until the end of their next turn.
Rock Wrecker|Rock|Melee Attack|Touch|Instant|Action|--|STR,CON|1d12 + X + mod damage; where X is your trainer class level; If you hit with the attack make a DC 12 CON saving throw or forfeit your next action.
Rollout|Rock|Melee Attack|Touch|Instant|Action|--|STR,CON|Xd6 + mod damage, where X is the number of consecutive rounds this action has hit it’s target.
Sandstorm|Rock|Spell|15|1 Minutes|Action|5,6|--|Create a zone around you (15 ft radius) of Sandstorm for the duration; Any creatures that are not of (or resistant to attacks of) Rock or Ground Type have disadvantage attacking into or out of Sandstorm. (Grass, Flying, Fighting, Steel, Rock and Ground are unaffected).
Smack Down|Rock|Ranged Attack|20/60|1 Rounds|Action|--|STR,DEX|1d6 + mod damage; On hit you knock the target to the ground such that they are affected by Ground Type moves for the duration.
Stealth Rock|Rock|Spell|60|1 Minutes|Action|5,6|--|Choose a 20 ft area within range to spread Stealth Rocks over; When a creature starts their turn on Stealth Rocks they must make a DEX save or take Xd6, where X is 5 times the number of layers of Stealth Rocks on that square; half on successful save; Pokemon that are sent out from their Pokeball onto Stealth Rocks immediately take damage from them.
Stone Edge|Rock|Spell|10|Instant|Action|6|STR,DEX|Summon a Stone weapon for you or an ally within range; 1d12 + mod damage; This weapon crits on 18-20; After each attack with this weapon roll 1d20, on a 5 or lower the weapon shatters and is useless.
Wide Guard|Rock|Spell|30|1 Rounds|Action|6|--|Until the beginning of your next turn you can use your Reaction to allow any nearby allies within range and yourself to automatically succeed a saving throw or halve damage from a multi-targeted attack or spell.
Astonish|Ghost|Spell|Touch|1 Minutes|Action|5,6|--|Choose an adjacent target to make a CHA saving throw; on a failure Xd4 damage, where X is your prof bonus and be Feared; on success they take half damage; affected targets can repeat the save at the end of their turn.
Confuse Ray|Ghost|Spell|30|1 Minutes|Action|5,6|--|Choose a target to make a DEX save or be Confused; affected targets can repeat the save at the end of their turn.
Curse|Ghost|Spell|60|Instant|Action|5,6|--|If you are a Ghost Type, choose a target to place a Curse on them, lose 50% of your hp, but deal that much damage at the start of each of the cursed Pokemon’s turn; When a cursed Pokemon is knocked out you can choose a new Pokemon within 10 ft of the current target to become cursed without taking the additional damage; If you are not Ghost Type you gain two Reactions until the beginning of your next turn.
Destiny Bond|Ghost|Spell|20|1 Minutes|Action|OPSR|--|Choose a target in range to make a CHA save or have their destiny entwined with yours (if you faint while the bonded Pokemon is still in play, they also faint).
Grudge|--|Trait|--|--|--|--|--|Instead of learning this move, gain the Pokemon Level Up Trait ‘Begrudged’. When you are knocked out, the move that knocked you out is disabled for the user until they leave play.
Hex|Ghost|Spell|60|1 Hours|Bonus Action|5,6|--|Choose a target to make a WIS save or be hexed; Choose a saving throw type for that opponent to have disadvantage on and anytime you damage the hexed creature you deal an additional 1d6. When a hexed creature is knocked out you can move the hex to another creature in play.
Lick|Ghost|Melee Attack|Touch|1 Minutes|Action|--|DEX,CHA|1d4 + mod damage; On hit the target must make a CON saving throw or be Feared; affected targets can repeat the save at the end of their turn.
Night Shade|Ghost|Spell|15/200|1 Minutes|Action|5,6|--|DAYTIME: Cast a 15 ft shadow, targets in the shadow must make a WIS save or take Xd4, where X is your prof bonus and be Confused (half dmg no Confuse on success); NIGHTTIME: Choose 1d4 + 1 targets to make a WIS save or take Xd6, where X is your prof bonus and be Feared (half dmg no fear on success); affected targets can repeat the save at the end of their turn.
Nightmare|--|Trait|--|--|--|--|--|Instead of learning this move, gain the Pokemon Level Up Trait ‘Bad Dreams’. Any opposing creature that is asleep at the start of their turn against you takes Xd4 damage, where X is your proficiency bonus.
Ominous Wind|Ghost|Spell|60|1 Minutes|Action|5,6|--|Create a corridor of ominous wind that extends in a 60ft line of your choosing, with you at the center; All enemies in this zone must make a WIS save or take Xd6 damage, where X is your prof bonus, and be Feared; successful saves take half damage; for each failed save heal 1d6 hp.
Phantom Force|Ghost|Spell|--|1d4+1 Rounds|Action|5,6|--|Cast invisibility on yourself for 1d4 + 1 rounds; Your next attack action has advantage on deals an additional Xd6 damage, where X is your prof bonus.
Shadow Ball|Ghost|Ranged Attack|60/180|Instant|Action|--|DEX,WIS|1d10 + mod damage; On hit target has disadvantage on its next saving throw.
Shadow Claw|Ghost|Melee Attack|Touch|Instant|Action|--|STR,DEX|your range is 5 ft + your reach for this attack; 1d8 + mod damage; this attack crits on 19 or 20.
Shadow Punch|Ghost|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d6 + mod damage; you cannot have disadvantage on this attack.
Shadow Sneak|Ghost|Spell|--|Instant|Bonus Action|5,6|--|Take the Hide action, you can also use your Reaction (if hidden) to use a melee attack against a creature that enters your range.
Spite|Ghost|Spell|20|1d4+1 Rounds|Action|5,6|--|Choose a target within range, roll to disable one of their Traits for the duration.
Trick or Treat|Ghost|Spell|20|1d6+1 Rounds|Action|5,6|--|Add Ghost Type to the target for the duration.
Draco Meteor|Dragon|Spell|60|Instant|Action|5,6|--|Choose an 10 ft area within range, all creatures within that area must make a DEX save or take Xd10 damage, where X is your prof bonus + 2, and are Burned; on a successful save targets take half damage and are not Burned; You cannot use Spells for 2 rounds after taking this action.
Dragon Breath|Dragon|Spell|15|1 Minutes|Action|5,6|--|Spew harsh breath in a cone; Targets within this zone must make a DEX save or be Paralyzed and take Xd6 damage, where X is your prof bonus; half on successful save; targets can repeat the save at the end of their turn.
Dragon Claw|Dragon|Melee Attack|Touch|Instant|Action|--|STR,DEX|Your range is 5 ft further than your reach; 1d10 + mod damage.
Dragon Dance|Dragon|Spell|--|Instant|Action|OPSR|--|Put yourself into a dragon dancer’s stance resulting in the following effects.: Advantage on CHA and DEX saves, movement speed is doubled, melee attacks have advantage (for and against you), ranged attacks have disadvantage (for and against you); Takes a Bonus Action to drop Dragon Dance, and anytime you suffer from a status you must make a DC 12 CON save or drop Dragon Dance.
Dragon Pulse|Dragon|Spell|30|1 Minutes|Action|4,5,6|--|Roar in a 30 ft cone, targets in this zone must make CHA saves or be Feared and take Xd8 damage, where X is your prof bonus; half damage on successful save; affected targets can repeat the save at the end of their turn.
Dragon Rage|--|Trait|--|--|--|--|--|Instead of learning this move you gain the Pokemon Level Up Trait ‘Dragon Rage’. You can -5 from any melee attack roll to make the attack against all adjacent targets; All Spell Actions you use also affect any adjacent targets but with half the DC.
Dragon Rush|Dragon|Spell|--|1d4+1 Rounds|Bonus Action|5,6|--|Double your movement speed for the duration; If you hit with a Melee Attack after traveling more than your usual movement speed the target is Feared for 1 Minute; the target can repeat the save at the end of their turn.
Dragon Tail|Dragon|Melee Attack|Touch|Instant|Bonus Action|--|STR|On hit the target falls prone.
Dual Chop|Dragon|Melee Attack|Touch|Instant|Action|--|STR,DEX|Make two of the following attacks; 1d6 + mod damage; these attacks can crit independently but if the 1st attack crits the 2nd also crits.
Outrage|Dragon|Spell|--|1d4 Rounds|Action|6|--|For the duration you are outraged, causing all adjacent foes, at the start of your turn, to make DEX saves or take Xd8 damage, where X is your prof bonus; half on successful save; after your outrage runs out you must make a WIS save or be Confused for 1 Minute; You can repeat this save at the end of each of your subsequent turns.
Twister|Dragon|Ranged Attack|30/90|Instant|Action|--|STR,DEX|1d6 + mod damage; On hit your target, and any foe between you and your target, to make a STR save or be knocked prone.
Assurance|Dark|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d8 + mod damage; This attack deals double damage to a target that has attacked you this round of combat.
Beat Up|Dark|Melee Attack|Touch|Instant|Action|--|STR,DEX|Make a Pound attack against the target, any allies adjacent to the target can use their Reaction to make a Melee Attack Action against the same target at this time.
Bite|Dark|Melee Attack|Touch|Instant|Action,Bonus Action|--|STR|1d8 + mod damage; this move only costs a Bonus Action to use if you used a Melee Attack Action as your Action, only dealing 1d4 + mod damage.
Crunch|Dark|Melee Attack|Touch|Instant|Action|--|STR|1d10 + mod damage; Target must make a STR save or lose 1 AC for the rest of combat (cannot go below 10 AC in this way).
Dark Pulse|Dark|Spell|15|1 Minutes|Action|5,6|--|Release horrible dark thoughts in a 15 ft cone; Targets in this area must make a CHA save or take Xd8 damage, where X is your prof bonus and be Feared; Feared targets have disadvantage on this save; half damage on successful save; affected targets can repeat this save at the end of their turn.
Dark Void|Dark|Spell|30|1 Minutes|Action|5,6|--|All Creatures within range of you must make a WIS save or be put to Sleep; affected target can repeat the save at the end of their turn.
Embargo|Dark|Room Spell|200|--|Action|6|--|No items can be used while this room is in effect; This effect goes away if another Room Spell is used or if this Pokemon leaves combat.
Fake Tears|Dark|Spell|30|1d4+1 Rounds|Action|5,6|--|All creatures must make a CHA save or have disadvantage on saves for the duration.
Feint Attack|Dark|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d6 + mod damage; you cannot have disadvantage on this attack; if an ally has attacked your target this round you have advantage on this attack.
Flatter|Dark|Spell|20|1 Minutes|Action|5,6|--|Choose a target within range to make a CHA save or be Confused; you also award them 1 bardic inspiration dice. This dice increases with your level (1 - d6, 5 - d8, 10 - d10, 15 - d12); affected targets can repeat the save at the end of their turn.
Fling|Dark|Spell|10|Instant|Bonus Action|4,5,6|--|If you have a target grappled you can toss them at an opponent in range, that target must make a DEX save or take Xd8 damage, where X is your prof bonus; on success the ejected opponent takes half this damage and the target takes none.
Foul Play|Dark|Spell|--|Instant|Reaction|5,6|--|On incoming attack action, force the attacker to use your STR mod; on your next attack action against this target you can add their STR mod if it’s higher than yours.
Hone Claws|--|Trait|--|--|--|--|--|Gain the ‘Sharpen’ Pokemon Level Up Trait; Gain +2 to all Melee attack rolls. You can retake this trait every level (ie not consecutively).
Knock Off|Dark|Spell|--|Instant|Bonus Action|4,5,6|--|Your next Melee Attack Action ends any Grapple the target may be grappling and the target must make a STR save or be knocked prone.
Memento|Dark|Spell|--|Instant|Reaction|5,6|--|Upon taking damage that would knock you out, spew some very hurtful words at your opponent; for the rest of combat they must make a CHA save when rolling damage or every dice rolled is replaced with a d4.
Nasty Plot|Dark|Spell|--|1d6 Rounds|Action|6|--|Raise your INT and CHA stat to 20 for the duration.
Night Daze|Dark|Melee Attack|Touch|2 Rounds|Action|--|STR,DEX|1d8 + mod damage; Target must make a INT save or be Blinded for the duration.
Night Slash|Dark|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d8 + mod damage; This attack crits on 19 or 20.
Parting Shot|--|Trait|--|--|--|--|--|Instead of learning this move you gain the Pokemon Level Up Trait 'You've Not Seen The Last Of Me!!!'; As long as you are conscious and have your Reaction for this round, you may use any of your Reaction moves when you are retracted by your Trainer. 
Payback|Dark|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d8 + mod damage; This attack Poisons the target if they have attacked you this round of combat.
Punishment|Dark|Melee Attack|Touch|Instant|Action|--|STR,CHA|1d8 + mod damage; if the target used an ability to give itself or its allies advantage/bonuses in any way since your last turn this attack deal double damage.
Pursuit|Dark|Spell|Touch|Instant|Reaction|5,6|--|When an adjacent target is being retracted make a Melee Attack Action against them.
Quash|Dark|Spell|30|1d4 Rounds|Action|5,6|--|Choose a target who has not yet had their turn this round and is within range; they must make a CHA save or be moved to the end of the initiative order for the duration.
Snarl|Dark|Spell|--|Instant|Reaction|6|--|Attacker has to be able to hear you; When you are to be hit with an attack, roll a d20 + your CHA modifier; if this beat the attack roll of the incoming attack the attacker is Feared before making the attack, until the end of their turn.
Snatch|Dark|Melee Attack|Touch|Instant|Action|--|STR,DEX|Make a Pound attack; The next time your target uses an attack/spell with effects other than damage you can use your Reaction to inflict those effects on an adjacent target; the original target’s attack/spell loses these effects.
Sucker Punch|Dark|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d8 + mod damage; This attack immediately halts the concentration of the target without a save.
Switcheroo|--|Trait|--|--|--|--|--|Instead of learning this move gain the ‘Fast Fingers’ Pokemon Level Up Trait. You gain +10 to your Sleight of hand checks.
Taunt|Dark|Spell|20|1 Minutes|Action|5,6|--|Choose a target within range to make a CHA save or be Simplified and be forced to direct attacks at you; target can repeat this save at the end of their turn.
Thief|--|Trait|--|--|--|--|--|Instead of learning this move, gain the Pokemon Level Up Trait ‘Trickster’. X times per short rest, where X is your prof bonus, you can use your Reaction to intervene when a Trainer is going to use an item on a Pokemon within 10 ft of you; make a deception/persuasion check against the trainer’s perception/investigation, if you beat them they use the item on you instead.
Topsy-Turvy|Dark|Room Spell|200|--|Action|OPSR|--|Each Pokemon’s Type resistances/vulnerabilities are inverted; This effect goes away if another Room move is used or if this Pokemon leaves combat.
Torment|Dark|Spell|30|1d6+2 Rounds|Action|4,5,6|--|Choose a target within range to make a CHA save or be unable to use the same move twice in a row for 1d6 + 2 rounds; The target can still choose to do so but take Xd6 damage, where X is your prof bonus, any time they attempt it.
Autotomize|Steel|Spell|--|1d4+2 Rounds|Bonus Action|6|--|Doubles users speed and halves its weight for the duration.
Bullet Punch|Steel|Melee Attack|Touch|Instant|Reaction|5,6|STR,DEX|When an adjacent target is making an Attack action, you can make the following Melee Attack against them first; 1d6 + mod damage.
Doom Desire|Steel|Spell|60|1 Rounds|Action|5,6|--|Concentrate for the duration, during this time you have advantage on saving throws, then at the start of your turn you deal Xd10 to one target within range, where X is double your prof bonus.
Flash Cannon|Steel|Ranged Attack|80/240|Instant|Action|--|INT,DEX|1d10 + mod damage. Target suffers disadvantage on their next saving throw.
Gear Grind|Steel|Melee Attack|Touch|Instant|Action|--|STR,CON|Make two of the following attacks: 1d6 + mod damage.
Gyro Ball|Steel|Spell|30|Instant|Action|4,5,6|--|Choose a target within range to make a CON save, if failed target takes 1d8  + an additional d8 damage for every 5ft higher their speed is than yours; Half damage on a success.
Heavy Slam|Steel|Melee Attack|Touch|Instant|Action|4,5,6|STR,CON|XdY + mod damage, where X is your prof bonus and Y is 4 if you weigh less than your opponent, 8 if you weigh more or 12 if you weigh more than double.
Iron Defense|Steel|Spell|--|1 Rounds|Bonus Action|5,6|--|Gain +X to your AC until the beginning of your next turn, where X is your prof bonus.
Iron Head|Steel|Melee Attack|Touch|Instant|Action|--|STR|1d10 + mod damage, if you attacked before the target has gone in this round, target must make a STR save or forfeit their turn this round; if the target succeeds you must make a STR save (DC 10) or forfeit your next turn.
Iron Tail|Steel|Melee Attack|Touch|Instant|Action|--|STR,DEX|On hit the target falls prone.
King’s Shield|Steel|Spell|--|1 Rounds|Action|6|--|Any attack actions against you until the beginning of your next turn fail, and the attacker must make his next attack with disadvantage.
Magnet Bomb|Steel|Ranged Attack|30/90|Instant|Action|--|INT,DEX|1d6 + mod damage; you cannot have disadvantage on this attack; on hit any Steel Type Pokemon within 20 ft are pulled adjacent to the target; If you are Steel Type, you can use a Bonus Action to follow the projectile.
Metal Burst|Steel|Spell|--|1d4 Rounds|Reaction|4,5,6|--|Upon being attacked, you can detonate some of your armor (lose -1 AC for 1d4 rounds) to retaliate 1d8 + CON mod damage back to the attacker.
Metal Claw|Steel|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d6 + mod damage and your following attack action deals X additional damage, where X is your Trainer Class level.
Metal Sound|Steel|Spell|10|1 Rounds|Action|4,5,6|--|All targets within range that can hear you must make a WIS saving throw or have disadvantage on all saving throws vs spells until the end of their next turn.
Meteor Mash|Steel|Ranged Attack|20/60|Instant|Action|--|DEX,CON|1d10 + mod damage; if you hit you can add +X damage to any subsequent Meteor Mash's used this battle (stacking), where X is your prof bonus.
Mirror Shot|Steel|Spell|--|1 Rounds|Reaction|5,6|--|On incoming attack, the attacker must make an INT saving throw or be Blinded until the beginning of their next turn.
Shift Gear|Steel|Spell|--|1d6 Rounds|Action|5,6|--|Double your movement speed and gain advantage on any attacks made after movement for the duration.
Steel Wing|Steel|Melee Attack|Touch|Instant|Action|--|STR,DEX|1d8 + mod damage and the target has disadvantage on their next attack against you.
Aromatic Mist|Fairy|Spell|15|1 Minute|Action|5,6|--|Create a 15 ft zone around you of aromatic mist for the duration; Creatures in this zone have resistance against Spell damage; The mist can be dispersed by wind.
Baby-Doll Eyes|Fairy|Spell|--|Instant|Reaction|4,5,6|--|Roll 1d4 and remove it from an incoming attack roll, check the new attack roll against your AC instead; at level 6 this dice becomes a d6 and at level 10 it becomes a d8.
Charm|Fairy|Spell|30|1 Minutes|Action|5,6|--|Choose a target to make a WIS save or be Charmed; target can repeat the save at the end of their turn.
Crafty Shield|Fairy|Spell|--|Instant|Action|5,6|--|Create a dimly-glowing, pink shield for yourself or an adjacent ally; When the wielder of this shield is inflicted with a Status the shield absorbs it instead; when this occurs roll 1d20, on a 5 or lower the shield is destroyed.
Dazzling Gleam|Fairy|Spell|60|Instant|Action|5,6|--|Choose a target to fire a ball of glitter at, target and all enemies within 5 ft of target can make a DEX save to take half damage; Does Xd6 damage, where X is double your prof bonus.
Disarming Voice|Fairy|Ranged Attack|30/90|Instant|Action|--|WIS,CHA|1d6 + mod damage; you cannot have disadvantage on this attack.
Draining Kiss|Fairy|Spell|Touch|Instant|Action|5,6|--|Choose an adjacent target to make a CHA saving throw (if they are Charmed they auto-fail), on a fail the target takes Xd6 + X damage, where X is your prof bonus, you are healed for 100% of damage dealt.
Fairy Lock|Fairy|Spell|--|1 Rounds|Bonus Action|4,5,6|--|Trainer’s cannot retract their Pokemon for the duration.
Fairy Wind|Fairy|Ranged Attack|30/90|1d4 Rounds|Action|--|WIS,CHA|1d6 + mod damage; and the target becomes weak to Fairy for the duration.
Flower Shield|Fairy|Spell|--|1 Minutes|Action|OPSR|--|All Grass Type Pokemon in play gain +1 AC and 2d8 temporary hit points for the duration.
Geomancy|Fairy|Spell|--|1 Rounds|Action|5,6|--|Maintain concentration until the beginning of your next turn, when you gain Haste for 1d6 Rounds; Haste doubles your movement speed and gives you an extra attack during your Attack Action.
Misty Terrain|Fairy|Spell|60|1 Minutes|Action|5,6|--|Choose a 30 ft area within range to summon a zone of Misty Terrain for the duration. Allies within this zone cannot be Charmed, enemies within this zone have disadvantage on saving throws.
Moonblast|Fairy|Spell|120|Instant|Action|5,6|--|Choose a target to fire a ball of pure moonlight at, target and all enemies within 10 ft of target can make a DEX save to take half damage; Does Xd10 damage, where X is double your prof bonus.
Moonlight|Fairy|Spell|--|Instant|Action,Bonus Action|5,6|WIS,CHA|Heal yourself for Xd6 + mod hp, where X is your prof bonus; at night this only costs a Bonus Action.
Play Rough|Fairy|Melee Attack|Touch|Instant|Action|--|STR,CHA|1d10 + mod damage; target must succeed a STR saving throw or suffer disadvantage on their next attack roll.
Sweet Kiss|Fairy|Spell|Touch|1 Minutes|Action|4,5,6|--|Target must make a CHA saving throw or be Confused; target can repeat this save at the end of their turn.
Accelerock|Rock|Spell|--|Instant|Bonus Action|5,6|--|Your next turn happens at the beginning of the initiative, and if you make an Attack action you deal an additional 1d4 damage.
Anchor Shot|Steel|Spell|30|Instant|Action,Reaction|4,5,6|--|Choose a target within range to make a DEX save; on a failure the target takes Xd6 damage, where X is your prof bonus + 1, and are yanked adjacent to you; you can use this Spell as your Reaction on a target being retracted by their Trainer.
Aurora Veil|--|Trait|--|--|--|--|--|Instead of learning this move you gain the Pokemon Levelup Trait 'Cold Steel'. You have +X to AC, Attack rolls, and damage rolls when standing in a HailStorm, where X is your prof bonus.
Baneful Bunker|Poison|Spell|--|1d4+1 Rounds|Action|5,6|--|You become resistant to any damage inflicted by Melee Attack actions for the duration; additionally any creature that lands an attack on you during this time must make a CON save or be Poisoned.
Beak Blast|Flying|Spell|--|1d4+1 Rounds|Action|5,6|--|Heat up your beak to an extreme temperature; All melee attacks you make for the duration deal an additional Xd6 Fire type damage, where X is your prof bonus; these attacks are considered Fire and Flying.
Brutal Swing|Dark|Melee Attack|Touch|Instant|Action|--|STR,CON|Make the following attack against all adjacent creatures at disadvantage; 1d12 + mod damage.
Burn Up|Fire|Spell|60|Instant|Action|5,6|--|Choose a target within range to make a DEX save or take Xd6 damage, where X is double your prof bonus, and be Badly Burned; once you this move your Fire Type becomes Normal for the rest of the battle.
Clanging Scales|Dragon|Spell|--|1d4 Rounds|Reaction|4,5,6|--|Upon being attacked, you can detonate some of your scales (lose -1 AC for 1d4 rounds) to retaliate 1d8 + CON mod damage back to the attacker.
Core Enforcer|Dragon|Spell|30|Instant|Reaction|5,6|--|When a creature in range uses a Spell you can attempt to cancel it; you and your target must each roll a d20 adding your CHA mods; if you win the Spell has no effects, if they win you cannot use this move again until you've taken a short rest.
Darkest Lariat|Dark|Melee Attack|Touch|Instant|Action|--|STR,DEX|Make two of the following attacks; 1d6 + mod damage; if both attacks hit the second deals double damage.
Dragon Hammer|Dragon|Melee Attack|Touch|Instant|Action|--|STR,CON|This attack's range is 10 ft + your reach and damages each creature between you and your target on hit; 1d10 + mod damage, and the target is knocked prone.
Fire Lash|Fire|Spell|10|10 Minutes|Action|OPSR|DEX,INT|Summon a fiery whip within range; 1d8 + mod damage; Attacks with this whip have 5 ft additional reach and the user can use their Reaction on hit to immolate the target, destroying the whip and Badly Burning the target.
First Impression|Bug|Spell|60|1 Minutes|Action|OPB|--|Choose a target within range that has not acted in combat yet and teleport to them; that target must make a INT save or take Xd4 damage, where X is the prof bonus, and are Feared; targets can repeat this save at the end of their turn.
Fleur Cannon|Fairy|Ranged Attack|80/240|1 Minutes|Action|5,6|WIS,CHA|1d12 + mod damage; on hit your target must make a CON save or be Charmed; target can repeat the save at the end of their turn.
Floral Healing|Fairy|Spell|--|Instant|Action|5,6|--|Heal yourself for Xd4 + X hp, where X is your prof bonus, if you are standing in Misty Terrain all other creatures in that area are also healed for that amount.
Nature's Madness|Fairy|Room Spell|200|--|Action|OPSR|--|Each creature gains Grass Type; additionally any creature that does not move on their turn is entangled in thorny vines, taking 1d10 damage and becoming rooted in place, requiring a STR save (DC 10) to break free; This effect goes away if another Room move is used or if this Pokemon leaves combat.
Gear Up|Steel|Spell|--|Instant|Bonus Action|5,6|--|Your next attack deals an extra 1d6.
High Horsepower|Ground|Spell|--|1d4+1 Rounds|Bonus Action|5,6|--|You gain double your movement speed for the duration; additionally you can move through occupied spaces, if you do so the occupyee must make a STR save or fall prone.
Ice Hammer|Ice|Melee Attack|Touch|Instant|Action|--|STR,CON|1d10 + mod damage; after you make a Melee Attack with this weapon you roll a d20, on a 5 or lower it shatters; any Melee Attack you make with this weapon deals an additional 1d10 Ice damage.
Instruct|Psychic|Spell|30|Instant|Action|5,6|--|Choose a target to make an INT saving throw or be forced to use their last Action again on their next turn.
Laser Focus|Normal|Spell|--|Instant|Bonus Action|5,6|--|If your next Attack action hits, it crits.
Leafage|Grass|Spell|--|Instant|Action|4,5,6|--|Lay a leafy trap on the square you currently occupy; The next time an enemy creature moves into that square they are entangled and take Xd4 damage, where X is double your prof bonus.
Liquidation|--|Trait|--|--|--|--|--|Instead of learning this move, gain the Pokemon Levelup Trait 'Transport Via Puddle'. Gain the ability to open a portal from one source of water to another for 6 seconds; You can only teleport to bodies of water you know; The body of water must be big enough to accommodate those wishing to use the portal; Can use this ability once per long rest.
Lunge|--|Trait|--|--|--|--|--|Instead of learning this move, gain the Pokemon Levelup Trait 'Got Hops'. Triple your jump distant, without affecting your movement speed.
Pollen Puff|--|Trait|--|--|--|--|--|Instead of learning this move, gain the Pokemon Levelup Trait 'Pollen Puff'. As a Bonus Action you can grow a pollen-packed polyp on your body, you can throw this polyp using a DEX based attack roll, or it detonates when you’re struck with an attack; in either case it deals Xd6 to the target, where X is your prof bonus, and they must make a DEX save or be Poisoned. Pollen polyps might also make for tasty cooking ingredients!
Power Trip|Dark|Spell|30|1 Minutes|Action|5,6|--|Choose a target within range to make a CHA save or be Feared; target can repeat this save at the end of their turn; you deal 1d8 additional damage to this target while he's Feared.
Psychic Fangs|Psychic|Melee Attack|Touch|Instant|Action|--|INT,STR|1d10 + mod damage; this attack ignore Spell-based bonuses on the target (ie Defense Curl).
